الترتيب,اسم اللاعب (عربي),اسم اللاعب (إنجليزي),عدد الأهداف,المنتخب (عربي),المنتخب (إنجليزي)
98,ساني,Sani,1,ألمانيا,Germany
99,سايليمايكرس,Sailimaikrs,1,بلجيكا,Belgium
100,سفانبرغ,Sfanbrgh,1,السويد,Sweden
101,سوتشيتش,Sutshitsh,1,كرواتيا,Croatia
102,رومو,Rumu,1,المكسيك,Mexico
103,سادلييك,Sadlik,1,التشيك,Czech Republic
104,زابيتسر,Zabitsr,1,النمسا,Austria
105,رويز,Ruiz,1,إسبانيا,Spain
106,رينا,Rina,1,الولايات المتحدة,United States
107,روميرو,Rumiru,1,الأرجنتين,Argentina
108,راشفورد,Rashfurd,1,إنجلترا,England
109,راموس,Ramus,1,البرتغال,Portugal
110,ديوب,Diub,1,المغرب,Morocco
111,دياز,Diaz,1,كولومبيا,Colombia
112,د. دوارتي,D. Duarti,1,الرأس الأخضر,Cape Verde
113,دوي,Dui,1,فرنسا,France
114,دي بروين,Di Bruin,1,بلجيكا,Belgium
115,جسيم,Jsim,1,المغرب,Morocco
116,ج. إيتو,J. Itu,1,اليابان,Japan
117,حكيمي,Hkimi,1,المغرب,Morocco
118,حسين,Hsin,1,العراق,Iraq
119,فاناكن,Fanakn,1,بلجيكا,Belgium
120,فان هيكي,Fan Hiki,1,هولندا,Netherlands
121,فان دايك,Fan Daik,1,هولندا,Netherlands
122,فاريلا,Farila,1,الرأس الأخضر,Cape Verde
123,غويري,Ghuiri,1,الجزائر,Algeria
124,غيوكيريس,Ghiukiris,1,السويد,Sweden
125,غوردون,Ghurdun,1,إنجلترا,England
126,غولر,Ghulr,1,تركيا,Turkey
127,غلارزا,Ghlarza,1,باراغواي,Paraguay
128,علوان,Aluan,1,الأردن,Jordan
129,شميد,Shmid,1,النمسا,Austria
130,شومورودوف,Shumuruduf,1,أوزبكستان,Uzbekistan
131,شييلديروب,Shildirub,1,النرويج,Norway
132,صابر,Sabr,1,مصر,Egypt
133,صلاح,Slah,1,مصر,Egypt
134,صليبا,Sliba,1,كندا,Canada
135,سورمان,Surman,1,نيوزيلندا,New Zealand
136,كيسي,Kisi,1,ساحل العاج,Ivory Coast
137,كريتشي,Kritshi,1,التشيك,Czech Republic
138,كومينينسيا,Kumininsia,1,كوراساو,Curaçao
139,لو سيلسو,Lu Silsu,1,الأرجنتين,Argentina
140,كونسا,Kunsa,1,إنجلترا,England
141,فريمان,Friman,1,الولايات المتحدة,United States
142,فلاشيتش,Flashitsh,1,كرواتيا,Croatia
143,كامادا,Kamada,1,اليابان,Japan
144,كالادزيتش,Kaladzitsh,1,النمسا,Austria
145,كامباز,Kambaz,1,كولومبيا,Colombia
146,كانوبيو,Kanubiu,1,أوروغواي,Uruguay
147,ك. بينا,K. Bina,1,الرأس الأخضر,Cape Verde
148,كاسيميرو,Kasimiru,1,البرازيل,Brazil
149,فيدالغو,Fidalghu,1,المكسيك,Mexico
150,فيزولايف,Fizulaif,1,أوزبكستان,Uzbekistan
151,ماك أليستير,Mak Alistir,1,الأرجنتين,Argentina
152,ماسيكو,Masiku,1,جنوب إفريقيا,South Africa
153,مارتينيلي,Martinili,1,البرازيل,Brazil
154,مارتينيز,Martiniz,1,الأرجنتين,Argentina
155,م. شافييز,M. Shafiz,1,المكسيك,Mexico
156,م. أراوخو,M. Araukhu,1,أوروغواي,Uruguay
157,لياو,Liau,1,البرتغال,Portugal
158,لي. مارتينيز,Li. Martiniz,1,الأرجنتين,Argentina
159,لوكيتش,Lukitsh,1,البوسنة والهرسك,Bosnia and Herzegovina
160,لوكاسين,Lukasin,1,غانا,Ghana
161,لوبيز كابرال,Lubiz Kabral,1,الرأس الأخضر,Cape Verde
162,مايدا,Maida,1,اليابان,Japan
163,محبي,Mhbi,1,إيران,Iran
164,مباي,Mbai,1,السنغال,Senegal
165,مايلي,Maili,1,جمهورية الكونغو الديمقراطية,DR Congo
166,ماوريسيو,Maurisiu,1,باراغواي,Paraguay
167,ميتكالف,Mitkalf,1,أستراليا,Australia
168,موكوينا,Mukuina,1,جنوب إفريقيا,South Africa
169,موسى,Musa,1,كرواتيا,Croatia
170,موسيالا,Musiala,1,ألمانيا,Germany
171,مكجين,Mkjin,1,إسكتلندا,Scotland
172,نداي,Ndai,1,السنغال,Senegal
173,ناكامورا,Nakamura,1,اليابان,Japan
174,مينديز,Mindiz,1,البرتغال,Portugal
175,نيفيز,Nifiz,1,البرتغال,Portugal
176,نوسا,Nusa,1,النرويج,Norway
177,نميتشا,Nmitsha,1,ألمانيا,Germany
178,نيمار,Nimar,1,البرازيل,Brazil
179,هيون جيو,Hiun Jiu,1,كوريا الجنوبية,South Korea
180,يامال,Yamal,1,إسبانيا,Spain
181,يرنكي,Yrnki,1,غانا,Ghana
182,يلماز,Ylmaz,1,تركيا,Turkey
